KeyPressed,KeyPressedt,Label
1,14.199258699998609,vertiM
2,31.131419500001357,horiM
1,41.53106049999769,vertiM
2,64.062923400008,horiM
1,79.66210660000797,vertiM
4,92.2780405000085,flickerSl
1,108.7425074000057,vertiM
2,132.14153429999715,horiM
1,158.17320689999906,vertiM
4,185.47028750000754,flickerSl
2,203.26885049999692,horiM
1,214.10128729999997,vertiM
2,232.7335691000044,horiM
1,254.83161940000718,vertiM
4,279.13098750000063,flickerSl
2,296.0286869999982,horiM
1,305.5623090000008,vertiM
2,325.5765925000014,horiM
1,357.6416976000037,vertiM
4,372.80739200000244,flickerSl
