KeyPressed,KeyPressedt,Label
2,14.204371200001333,horiM
1,20.703878600004828,vertiM
2,29.80395149999822,horiM
1,38.469172800003435,vertiM
2,45.00207280000177,horiM
2,47.16872040000453,horiM
1,51.06823190000432,vertiM
2,61.46882420000475,horiM
1,71.00016809999943,vertiM
2,79.23291009999957,horiM
4,91.79854740000155,flickerSl
2,108.29747260000295,horiM
1,110.89722959999926,vertiM
2,116.5309344999987,horiM
1,121.29649159999826,vertiM
2,127.36296330000187,horiM
1,136.46307750000415,vertiM
2,145.56142720000207,horiM
1,153.3620069000026,vertiM
2,161.59355209999921,horiM
1,169.42629789999773,vertiM
2,175.49249419999978,horiM
1,181.99335319999955,vertiM
4,185.45845589999954,flickerSl
2,201.95836250000139,horiM
1,205.85687999999936,vertiM
2,210.62322929999937,horiM
1,217.55610300000262,vertiM
2,224.9556709000026,horiM
1,229.28961060000438,vertiM
2,235.35517750000145,horiM
1,239.68771689999994,vertiM
2,245.75483779999922,horiM
1,250.08696670000063,vertiM
2,254.85504070000025,horiM
1,260.05305090000184,vertiM
2,264.81928139999945,horiM
1,270.45366740000463,vertiM
2,277.385048600001,horiM
4,278.6861554999996,flickerSl
2,294.75080940000043,horiM
1,299.5167062000037,vertiM
2,306.4497288999992,horiM
1,311.2172516999999,vertiM
2,319.01660300000367,horiM
1,326.3816513999991,vertiM
2,333.74755690000165,horiM
1,342.8802627999976,vertiM
2,348.9478130999996,horiM
1,353.7140266999995,vertiM
2,358.4790580999979,horiM
1,365.845186999999,vertiM
4,372.34492370000225,flickerSl
